name,RR@10,nDCG@10,AP@100,alpha
scifact: BM25 >> bge-base-en-v1.5,0.7106269841269841,0.745805531393801,0.7064207292404776,0.2
nfcorpus: BM25 >> bge-base-en-v1.5,0.5766745294609071,0.3623201799020609,0.1687882918624121,0.1
fiqa: BM25 >> bge-base-en-v1.5,0.4900879384675679,0.4102613524879438,0.3452009297607705,0.3
quora: BM25 >> bge-base-en-v1.5,0.8887655158730126,0.8944336016100336,0.8649260126839985,0.3
hotpotqa: BM25 >> bge-base-en-v1.5,0.8578560174913966,0.7086834623279266,0.6284626999967798,0.4
scifact: BM25 >> bge-small-en-v1.5,0.6866878306878305,0.7211361057112494,0.6842553736204461,0.2
nfcorpus: BM25 >> bge-small-en-v1.5,0.5852867462774582,0.3592552599880733,0.1644506892763741,0.3
fiqa: BM25 >> bge-small-en-v1.5,0.4880811532431901,0.4084112366726259,0.3465345817171676,0.2
quora: BM25 >> bge-small-en-v1.5,0.8870511507936488,0.8930114039101682,0.863589471002943,0.3
fever: BM25 >> bge-base-en-v1.5,0.8015141395091868,0.8010757043984943,0.7598322774368627,0.1
hotpotqa: BM25 >> bge-small-en-v1.5,0.8358908073695347,0.6873163017058197,0.6049296078782453,0.4
fever: BM25 >> bge-small-en-v1.5,0.7953316164949797,0.7940214178953365,0.7523733596664794,0.1
passage: BM25 >> bge-base-en-v1.5,0.8517441860465116,0.6944318173113923,0.3896833177468806,0.2
dbpedia_entity: BM25 >> bge-base-en-v1.5,0.7236587301587302,0.4101402021200676,0.2906103443913742,0.4
dbpedia_entity: BM25 >> bge-small-en-v1.5,0.7423045634920633,0.4122496688310082,0.2873374311901527,0.3
passage: BM25 >> bge-small-en-v1.5,0.867700258397933,0.7021085429028887,0.3931224265396038,0.3
dbpedia_entity: BM25 >> bge-base-en-v1.5,0.7236587301587302,0.4101402021200676,0.2906103443913742,0.4
fever: BM25 >> bge-base-en-v1.5,0.8058163554450662,0.8058245542281756,0.7640550739357901,0.1
dbpedia_entity: BM25 >> bge-small-en-v1.5,0.7423045634920633,0.4122496688310082,0.2873374311901527,0.3
dbpedia_entity: BM25 >> bge-base-en-v1.5,0.7236587301587302,0.4101402021200676,0.2906103443913742,0.4
dbpedia_entity: BM25 >> bge-base-en-v1.5,0.7236587301587302,0.4101402021200676,0.2906103443913742,0.4
fever: BM25 >> bge-base-en-v1.5,0.8058163554450662,0.8058245542281756,0.7640550739357901,0.1
passage: BM25 >> bge-base-en-v1.5,0.8463455149501662,0.6897242673401464,0.3860391880529553,0.1
dbpedia_entity: BM25 >> bge-small-en-v1.5,0.7423045634920633,0.4122496688310082,0.2873374311901527,0.3
dbpedia_entity: BM25 >> bge-small-en-v1.5,0.7423045634920633,0.4122496688310082,0.2873374311901527,0.3
fever: BM25 >> bge-small-en-v1.5,0.7989629320074831,0.7982749186457351,0.7560845675047697,0.1
passage: BM25 >> bge-small-en-v1.5,0.8684385382059802,0.6989982310755989,0.39104930966765483,0.2
fever: BM25 >> bge-small-en-v1.5,0.7989629320074831,0.7982749186457351,0.7560845675047697,0.1
passage: BM25 >> bge-small-en-v1.5,0.8684385382059802,0.6989982310755989,0.39104930966765483,0.2
