name,RR@10,nDCG@10,AP@100,alpha
scifact: BM25 >> e5-small-v2,0.6915383597883595,0.725473732798123,0.6849037553827882,0.4
nfcorpus: BM25 >> e5-small-v2,0.5678559142955427,0.347927098545788,0.1576092755451625,0.3
fiqa: BM25 >> e5-small-v2,0.4721058690966096,0.4038099123120461,0.3406629656501681,0.3
quora: BM25 >> e5-small-v2,0.8661224206349172,0.8733682034017556,0.8401814393085537,0.3
dbpedia_entity: BM25 >> e5-small-v2,0.7412053571428571,0.4152217587729249,0.2834936367896597,0.2
scifact: BM25 >> e5-base-v2,0.6998082010582007,0.7307819940465955,0.6920958822088367,0.3
nfcorpus: BM25 >> e5-base-v2,0.5665696103002604,0.3549782786514793,0.1621387599693954,0.4
fiqa: BM25 >> e5-base-v2,0.4954616157162451,0.414762451894668,0.3502671414676466,0.1
quora: BM25 >> e5-base-v2,0.8765670238095208,0.8832200845632607,0.8515031290910492,0.3
dbpedia_entity: BM25 >> e5-base-v2,0.7671200396825397,0.4312608721488009,0.2957549611903374,0.3
hotpotqa: BM25 >> e5-small-v2,0.837568513338261,0.6905599019427567,0.6099239815220974,0.4
fever: BM25 >> e5-small-v2,0.7554942994299411,0.7658532883950293,0.7173581324307877,0.1
hotpotqa: BM25 >> e5-base-v2,0.8461278308307314,0.6987436257497732,0.6190441770333424,0.5
fever: BM25 >> e5-base-v2,0.737837712342663,0.7528236591020572,0.7014904454873482,0.1
scifact: BM25 >> e5-base-unsupervised,0.7163121693121691,0.754064223460823,0.7112858596560391,0.2
nfcorpus: BM25 >> e5-base-unsupervised,0.5810187232787852,0.3590460371204106,0.1667311561138405,0.3
fiqa: BM25 >> e5-base-unsupervised,0.4868227023319613,0.4168670666113101,0.3507134794398435,0.3
quora: BM25 >> e5-base-unsupervised,0.857936269841266,0.8668920975134057,0.8325017013718834,0.4
dbpedia_entity: BM25 >> e5-base-unsupervised,0.7229424603174606,0.3897884348204147,0.2675696274366072,0.2
hotpotqa: BM25 >> e5-base-unsupervised,0.7960509308382339,0.6342335158509906,0.5502499327340894,0.6
fever: BM25 >> e5-base-unsupervised,0.6829097195433834,0.7045320697619177,0.6484914798177771,0.2
passage: BM25 >> e5-small-v2,0.877906976744186,0.7086392634732387,0.4075701160940823,0.2
passage: BM25 >> e5-base-v2,0.817829457364341,0.6921355129020538,0.4039283598609939,0.2
passage: BM25 >> e5-base-unsupervised,0.6975083056478404,0.5889260143172332,0.3129961090018032,0.6
