dataset,model,query_embedding,doc_retrieval,total_latency
fiqa,arctic-m,29.1667,0.233,44.5988
scifact,arctic-m,43.6667,0.0325,51.3333
nfcorpus,arctic-m,18.7616,0.0215,20.3715
fiqa,arctic-xs,3.5185,0.2006,13.7963
nfcorpus,arctic-xs,2.1393,0.0146,5.3251
scifact,arctic-xs,5.5,0.0252,14.3667
fiqa,bge-base,24.6914,0.2438,41.2037
scifact,bge-base,34.6667,0.032,49.0
nfcorpus,bge-base,14.2105,0.0191,18.7926
scifact,bge-small,12.8,0.0268,20.9667
nfcorpus,bge-small,5.0774,0.0168,7.9567
fiqa,bge-small,7.3457,0.2207,18.6728
fiqa,e5-base,19.5988,0.2562,39.1975
nfcorpus,e5-base,10.743,0.0194,16.8111
scifact,e5-base,32.7333,0.0332,46.0
nfcorpus,e5-base-pt,13.3127,0.0206,16.4706
fiqa,e5-base-pt,20.0617,0.2562,36.1111
scifact,e5-base-pt,36.3333,0.0329,44.6667
scifact,e5-small,9.6,0.0253,19.9333
nfcorpus,e5-small,3.1269,0.0152,6.5944
fiqa,e5-small,5.7099,0.1867,17.5926
scifact,gte-base,39.6667,0.0326,54.3333
nfcorpus,gte-base,13.2508,0.0191,17.2136
fiqa,gte-base,25.1543,0.2438,43.3642
nfcorpus,nomic,19.4737,0.0203,22.4149
scifact,nomic,53.6667,0.0407,60.0
fiqa,nomic,33.642,0.25,49.0741
nfcorpus,tct-colbert,25.0464,0.0205,33.7461
fiqa,tct-colbert,31.3272,0.3133,47.9938
scifact,tct-colbert,26.1333,0.0324,43.3333
