name,RR@10,nDCG@10,AP@100,alpha
scifact: BM25 >> bge-base-en-v1.5,0.7106269841269841,0.745805531393801,0.7064207292404776,0.2
nfcorpus: BM25 >> bge-base-en-v1.5,0.5766745294609071,0.3623201799020609,0.1687882918624121,0.1
fiqa: BM25 >> bge-base-en-v1.5,0.4900879384675679,0.4102613524879438,0.3452009297607705,0.3
quora: BM25 >> bge-base-en-v1.5,0.8887655158730126,0.8944336016100336,0.8649260126839985,0.3
hotpotqa: BM25 >> bge-base-en-v1.5,0.8578560174913966,0.7086834623279266,0.6284626999967798,0.4
,,,,
scifact: BM25 >> gte-base-en-v1.5,0.7217248677248679,0.7599354199200085,0.7196447008280225,0.4
nfcorpus: BM25 >> gte-base-en-v1.5,0.5852277753206545,0.3648835033389884,0.1658477098902777,0.4
fiqa: BM25 >> gte-base-en-v1.5,0.5586652459337641,0.4755112826804417,0.410265321410137,0.2
quora: BM25 >> gte-base-en-v1.5,0.8877299206349185,0.8939242597475575,0.8641328903878275,0.4
hotpotqa: BM25 >> gte-base-en-v1.5,0.8608462214505407,0.6870208706781125,0.6025052628533392,0.6
,,,,
scifact: BM25 >> snowflake-arctic-embed-m,0.7041216931216928,0.7470963959335247,0.6977291949339992,0.5
nfcorpus: BM25 >> snowflake-arctic-embed-m,0.5786328566514324,0.3619130342871168,0.165336387641515,0.2
fiqa: BM25 >> snowflake-arctic-embed-m,0.5033387223202036,0.4241421959543424,0.3619209448139988,0.2
scifact: BM25 >> snowflake-arctic-embed-m,0.7041216931216928,0.7470963959335247,0.6977291949339992,0.5
nfcorpus: BM25 >> snowflake-arctic-embed-m,0.5786328566514324,0.3619130342871168,0.165336387641515,0.2
fiqa: BM25 >> snowflake-arctic-embed-m,0.5033387223202036,0.4241421959543424,0.3619209448139988,0.2
scifact: BM25 >> snowflake-arctic-embed-m,0.7041216931216928,0.7470963959335247,0.6977291949339992,0.5
nfcorpus: BM25 >> snowflake-arctic-embed-m,0.5786328566514324,0.3619130342871168,0.165336387641515,0.2
fiqa: BM25 >> snowflake-arctic-embed-m,0.5033387223202036,0.4241421959543424,0.3619209448139988,0.2
quora: BM25 >> snowflake-arctic-embed-m,0.8710128571428549,0.8794510871904411,0.8464804185898501,0.3
,,,,
scifact: BM25 >> tct_colbert_msmarco,0.6566613756613755,0.6900573506788187,0.652030044996599,0.6
nfcorpus: BM25 >> tct_colbert_msmarco,0.5495810604943733,0.3361933154804599,0.1517701565889907,0.6
fiqa: BM25 >> tct_colbert_msmarco,0.3852623456790122,0.313916769643048,0.2619310231844179,0.5
quora: BM25 >> tct_colbert_msmarco,0.8382092857142812,0.8464035123627321,0.8093454843799666,0.5
hotpotqa: BM25 >> tct_colbert_msmarco,0.8006518011210771,0.6362612156260334,0.551164186401185,0.6
,,,,
