dataset,model,mean_time_per_query (ms),nDCG@10
fiqa,arctic-m,44.5988,0.4241
scifact,arctic-m,14.7667,0.7471
nfcorpus,arctic-m,5.5728,0.3619
fiqa,arctic-xs,13.7963,0.3555
nfcorpus,arctic-xs,5.6656,0.3408
scifact,arctic-xs,14.9,0.7128
fiqa,bge-base,41.2037,0.4103
scifact,bge-base,49.0,0.7458
nfcorpus,bge-base,18.7926,0.3623
scifact,bge-small,20.9667,0.7211
nfcorpus,bge-small,8.0495,0.3593
fiqa,bge-small,18.5185,0.4084
fiqa,e5-base,39.1975,0.4148
nfcorpus,e5-base,16.8111,0.355
scifact,e5-base,46.0,0.7308
nfcorpus,e5-base-pt,16.4706,0.359
fiqa,e5-base-pt,36.1111,0.4169
scifact,e5-base-pt,44.6667,0.7541
nfcorpus,e5-small,6.9659,0.3479
scifact,e5-small,20.2667,0.7255
fiqa,e5-small,17.9012,0.4038
nfcorpus,gte-base,17.2136,0.3649
fiqa,gte-base,43.3642,0.4755
scifact,gte-base,54.3333,0.7599
nfcorpus,tct-colbert,33.7461,0.3362
fiqa,tct-colbert,47.9938,0.3139
scifact,tct-colbert,43.3333,0.6901
