dataset,pipeline_name,mean_time_per_query (ms),exp_time (s),standard_dev_time (ms),nr_queries,timeit_details,model,name
fiqa,BM25 >> bge-base-en-v1.5,0.2438,0.158,16.5,648,"158 ms +- 16.5 ms per loop (mean +- std. dev. of 7 runs, 10 loops each)
",bge-base,fiqa: BM25 >> bge-base-en-v1.5
nfcorpus,BM25 >> bge-base-en-v1.5,0.0191,0.0062,0.0156,323,"6.17 ms +- 15.6 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
",bge-base,nfcorpus: BM25 >> bge-base-en-v1.5
scifact,BM25 >> bge-base-en-v1.5,0.032,0.0096,0.0864,300,"9.6 ms +- 86.4 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
",bge-base,scifact: BM25 >> bge-base-en-v1.5
fiqa,BM25 >> bge-small-en-v1.5,0.2207,0.143,4.76,648,"143 ms +- 4.76 ms per loop (mean +- std. dev. of 7 runs, 1 loop each)
",bge-small,fiqa: BM25 >> bge-small-en-v1.5
nfcorpus,BM25 >> bge-small-en-v1.5,0.0168,0.0054,0.232,323,"5.43 ms +- 232 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
",bge-small,nfcorpus: BM25 >> bge-small-en-v1.5
scifact,BM25 >> bge-small-en-v1.5,0.0268,0.008,0.597,300,"8.04 ms +- 597 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
",bge-small,scifact: BM25 >> bge-small-en-v1.5
fiqa,BM25 >> e5-base-unsupervised,0.2562,0.166,5.56,648,"166 ms +- 5.56 ms per loop (mean +- std. dev. of 7 runs, 1 loop each)
",e5-base-pt,fiqa: BM25 >> e5-base-unsupervised
nfcorpus,BM25 >> e5-base-unsupervised,0.0206,0.0066,0.121,323,"6.64 ms +- 121 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
",e5-base-pt,nfcorpus: BM25 >> e5-base-unsupervised
scifact,BM25 >> e5-base-unsupervised,0.0329,0.0099,0.059,300,"9.86 ms +- 59 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
",e5-base-pt,scifact: BM25 >> e5-base-unsupervised
fiqa,BM25 >> e5-base-v2,0.2562,0.166,3.79,648,"166 ms +- 3.79 ms per loop (mean +- std. dev. of 7 runs, 10 loops each)
",e5-base,fiqa: BM25 >> e5-base-v2
