name,RR@10,nDCG@10,AP@100,alpha
scifact: BM25 >> snowflake-arctic-embed-m,0.7041216931216928,0.7470963959335247,0.6977291949339992,0.5
nfcorpus: BM25 >> snowflake-arctic-embed-m,0.5786328566514324,0.3619130342871168,0.165336387641515,0.2
fiqa: BM25 >> snowflake-arctic-embed-m,0.5033387223202036,0.4241421959543424,0.3619209448139988,0.2
quora: BM25 >> snowflake-arctic-embed-m,0.8710128571428549,0.8794510871904411,0.8464804185898501,0.3
scifact: BM25 >> snowflake-arctic-embed-xs,0.6788399470899469,0.712835562462437,0.6705028045779278,0.6
nfcorpus: BM25 >> snowflake-arctic-embed-xs,0.5506953658656446,0.3407976858444455,0.1541839216173225,0.3
fiqa: BM25 >> snowflake-arctic-embed-xs,0.4270122966882225,0.3554583172241917,0.2969625287460507,0.2
quora: BM25 >> snowflake-arctic-embed-xs,0.8644653571428554,0.8718250542230565,0.8382530125761406,0.3
hotpotqa: BM25 >> snowflake-arctic-embed-xs,0.8327029677502301,0.6680301549415621,0.584302394614535,0.5
dbpedia_entity: BM25 >> snowflake-arctic-embed-xs,0.721223214285714,0.4071040724004264,0.28071239744689847,0.2
dbpedia_entity: BM25 >> snowflake-arctic-embed-m,0.7826815476190476,0.4443943575095571,0.31224556510031276,0.2
dbpedia_entity: BM25 >> snowflake-arctic-embed-xs,0.721223214285714,0.4071040724004264,0.28071239744689847,0.2
dbpedia_entity: BM25 >> snowflake-arctic-embed-m,0.7826815476190476,0.44433571472947186,0.3121963040165689,0.2
fever: BM25 >> snowflake-arctic-embed-xs,0.7511965482262494,0.7607874225587444,0.7128204694216413,0.1
fever: BM25 >> snowflake-arctic-embed-m,0.8163756851875641,0.8154632764997052,0.7764509060216352,0.1
passage: BM25 >> snowflake-arctic-embed-xs,0.8585271317829458,0.6923953037858354,0.3954602458490778,0.2
hotpotqa: BM25 >> snowflake-arctic-embed-m,0.8784974759654006,0.7255420938096423,0.6482180451426665,0.3
passage: BM25 >> snowflake-arctic-embed-m,0.8502583979328165,0.7041811800510395,0.4026015101743941,0.1
